HEADER	MICROS	MILLIS	LEFTDIR	LEFTDC	RIGHTDIR	RIGHTDC	LEFTPOS	RIGHTPOS	AMB_COL_NE	AMB_COL_SE	AMB_COL_SW	AMB_COL_NW	AMB_LINE_N	AMB_LINE_E	AMB_LINE_S	AMB_LINE_W	IR_COL_NE	IR_COL_SE	IR_COL_SW	IR_COL_NW	IR_LINE_N	IR_LINE_E	IR_LINE_S	IR_LINE_W	TRAILER	
1526703360	78723052	78722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	328	439	683	1509991935	
1526703360	78733476	78733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	328	439	684	1509991935	
1526703360	78743884	78743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	328	439	684	1509991935	
1526703360	78752220	78751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	329	439	684	1509991935	
1526703360	78762652	78761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	328	439	684	1509991935	
1526703360	78773068	78772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	328	439	684	1509991935	
1526703360	78783484	78783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	328	439	683	1509991935	
1526703360	78793908	78793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	328	439	683	1509991935	
1526703360	78802244	78801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	329	439	684	1509991935	
1526703360	78812660	78812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	328	439	684	1509991935	
1526703360	78823084	78822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	328	439	683	1509991935	
1526703360	78833500	78832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	328	439	683	1509991935	
1526703360	78841836	78840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	329	440	684	1509991935	
1526703360	78852260	78852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	328	439	684	1509991935	
1526703360	78862676	78862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	328	439	683	1509991935	
1526703360	78873092	78872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	329	439	683	1509991935	
1526703360	78883524	78882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	328	439	683	1509991935	
1526703360	78891852	78891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	329	440	685	1509991935	
1526703360	78902268	78902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	328	439	684	1509991935	
1526703360	78912692	78912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	328	439	684	1509991935	
1526703360	78923108	78922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	328	439	684	1509991935	
1526703360	78933532	78932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	329	439	683	1509991935	
1526703360	78941884	78941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	329	440	684	1509991935	
1526703360	78952300	78951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	328	439	684	1509991935	
1526703360	78962732	78962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	328	439	683	1509991935	
1526703360	78973148	78972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	328	439	684	1509991935	
1526703360	78983556	78983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	328	439	683	1509991935	
1526703360	78991900	78991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	330	440	684	1509991935	
1526703360	79002332	79001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	328	439	684	1509991935	
1526703360	79012748	79011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	328	439	683	1509991935	
1526703360	79023188	79023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	328	439	684	1509991935	
1526703360	79033604	79033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	328	439	684	1509991935	
1526703360	79041940	79041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	328	439	684	1509991935	
1526703360	79052388	79051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	328	439	684	1509991935	
1526703360	79062804	79062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	328	439	683	1509991935	
1526703360	79073212	79072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	328	439	684	1509991935	
