HEADER	MICROS	MILLIS	LEFTDIR	LEFTDC	RIGHTDIR	RIGHTDC	LEFTPOS	RIGHTPOS	AMB_COL_NE	AMB_COL_SE	AMB_COL_SW	AMB_COL_NW	AMB_LINE_N	AMB_LINE_E	AMB_LINE_S	AMB_LINE_W	IR_COL_NE	IR_COL_SE	IR_COL_SW	IR_COL_NW	IR_LINE_N	IR_LINE_E	IR_LINE_S	IR_LINE_W	TRAILER	S_inRaw_N	S_inRaw_E	S_inRaw_S	S_inRaw_W	S_inAfterGO_N	S_inAfterGO_E	S_inAfterGO_S	S_inAfterGO_W	S_inFiltered_N	S_inFiltered_E	S_inFiltered_S	S_inFiltered_W	A_inL	A_inR	A_outPwmL	A_outPwmR	C_PID_in	C_PID_p	C_PID_i	C_PID_d	C_PID_out	C_outError	C_outRaw	C_outNormalized	
1526703360	64252276	64251	0	25	0	25	14	19	0	0	0	0	0	0	0	0	0	0	0	0	238	590	345	189	1509991935	238	590	345	191	0.198832	0.660328	0.182448	-0.020472	-nan	0.616401469885	0.174392994827	-0.00433842626687	-0	0	25	25	0.620739896152	0.931109844228	0	0	0.931109844228	0.620739896152	0.931109844228	0	
1526703360	64261620	64261	0	25	0	25	15	19	0	0	0	0	0	0	0	0	0	0	0	0	241	593	346	189	1509991935	238	590	345	189	0.198832	0.660328	0.182448	-0.022178	-nan	0.624636761859	0.176237592605	-0.00509143839158	-0	0	25	25	0.629728200251	0.944592300376	0	0	0.944592300376	0.629728200251	0.944592300376	0	
1526703360	64270964	64270	0	25	0	25	16	19	0	0	0	0	0	0	0	0	0	0	0	0	241	594	349	189	1509991935	241	593	346	189	0.203218	0.664525	0.183534	-0.022178	-nan	0.632151573882	0.177906352777	-0.00588914383162	-0	0	25	25	0.638040717713	0.95706107657	0	0	0.95706107657	0.638040717713	0.95706107657	0	
1526703360	64282372	64281	0	25	0	25	16	20	0	0	0	19	0	0	0	0	0	0	0	0	240	597	349	188	1509991935	241	594	349	189	0.203218	0.665924	0.186792	-0.022178	-nan	0.638993666306	0.179418631583	-0.00672287790252	-0	0	25	25	0.645716544208	0.968574816312	0	0	0.968574816312	0.645716544208	0.968574816312	0	
1526703360	64291708	64290	0	25	0	25	17	21	0	0	0	0	0	0	0	0	0	0	0	0	238	600	351	189	1509991935	240	597	349	188	0.201756	0.670121	0.186792	-0.023031	-nan	0.645213347537	0.18079719057	-0.00758298267576	-0	0	25	25	0.652796330212	0.979194495319	0	0	0.979194495319	0.652796330212	0.979194495319	0	
1526703360	64301044	64300	0	25	0	25	18	21	0	0	0	0	0	0	0	0	0	0	0	0	235	602	352	191	1509991935	238	600	351	189	0.198832	0.674318	0.188964	-0.022178	-nan	0.650865647694	0.182058544679	-0.00846078594619	-0	0	25	25	0.65932643364	0.98898965046	0	0	0.98898965046	0.65932643364	0.98898965046	0	
1526703360	64310404	64310	0	25	0	25	18	21	0	0	0	0	0	0	0	0	0	0	0	0	232	603	350	192	1509991935	235	602	352	191	0.194446	0.677116	0.19005	-0.020472	-nan	0.656006361057	0.183218122883	-0.00934145162503	-0	0	25	25	0.665347812682	0.998021719023	0	0	0.998021719023	0.665347812682	0.998021719023	0	
1526703360	64321804	64321	1	25	0	75	18	23	0	0	0	0	0	0	0	0	0	0	0	0	229	603	347	193	1509991935	232	603	350	192	0.19006	0.678515	0.187878	-0.019619	-nan	0.660679843603	0.184283497061	-0.0102066470337	-1	1	-25	75	0.670886490637	1.00632973596	0	0	1.00632973596	0.670886490637	1.00632973596	1	
1526703360	64331132	64330	1	25	0	75	19	23	0	0	0	0	0	0	0	0	0	0	0	0	228	605	344	194	1509991935	229	603	347	193	0.185674	0.678515	0.18462	-0.018766	-nan	0.664917160589	0.185244002048	-0.0110422306077	-1	1	-25	75	0.675959391197	1.01393908679	0	0	1.01393908679	0.675959391197	1.01393908679	1	
1526703360	64340468	64339	1	25	0	75	20	23	0	0	0	0	0	0	0	0	0	0	0	0	240	608	342	195	1509991935	228	605	344	194	0.184212	0.681313	0.181362	-0.017913	-nan	0.668746218915	0.186079878546	-0.0118378466306	-1	1	-25	75	0.680584065546	1.02087609832	0	0	1.02087609832	0.680584065546	1.02087609832	1	
1526703360	64351900	64351	1	25	0	75	20	25	1	0	0	0	0	0	0	0	0	0	0	0	225	605	336	198	1509991935	240	608	342	195	0.201756	0.68551	0.17919	-0.01706	-nan	0.672206482451	0.186774869931	-0.012584764206	-1	1	-25	75	0.684791246657	1.02718686998	0	0	1.02718686998	0.684791246657	1.02718686998	1	
1526703360	64361236	64360	1	25	0	75	20	25	0	0	0	0	0	0	0	0	11	0	0	0	224	605	331	201	1509991935	225	605	336	198	0.179826	0.681313	0.172674	-0.014501	-nan	0.675329737082	0.187311401233	-0.0132721976333	-1	1	-25	75	0.688601934716	1.03290290207	0	0	1.03290290207	0.688601934716	1.03290290207	1	
