HEADER	MICROS	MILLIS	LEFTDIR	LEFTDC	RIGHTDIR	RIGHTDC	LEFTPOS	RIGHTPOS	AMB_COL_NE	AMB_COL_SE	AMB_COL_SW	AMB_COL_NW	AMB_LINE_N	AMB_LINE_E	AMB_LINE_S	AMB_LINE_W	IR_COL_NE	IR_COL_SE	IR_COL_SW	IR_COL_NW	IR_LINE_N	IR_LINE_E	IR_LINE_S	IR_LINE_W	TRAILER	S_inRaw_N	S_inRaw_E	S_inRaw_S	S_inRaw_W	S_inAfterGO_N	S_inAfterGO_E	S_inAfterGO_S	S_inAfterGO_W	S_inFiltered_N	S_inFiltered_E	S_inFiltered_S	S_inFiltered_W	A_inL	A_inR	A_outPwmL	A_outPwmR	C_PID_in	C_PID_p	C_PID_i	C_PID_d	C_PID_out	PID_P	PID_I	PID_D	C_outError	C_outRaw	C_outNormalized	
1526703360	227101636	227100	0	16	0	34	770	755	0	0	0	0	0	0	0	0	0	0	0	0	609	418	790	742	1509991935	611	414	788	751	0.226896	0.08514	0.275012	0.040468	-nan	0.0892527387496	0.282553505387	0.0406858347033	-0.119690662782	0.119690662782	16.0232002914	33.9767997086	0.0485669040463	0.121417260116	0	-0.00172659733387	0.119690662782	2.5	0	0.2	0.0485669040463	0.119690662782	0.119690662782	
1526703360	227112040	227111	0	16	0	34	771	756	0	0	0	0	0	0	0	0	0	0	0	0	608	423	792	730	1509991935	609	418	790	742	0.22494	0.0891	0.276588	0.035032	-nan	0.0890305622732	0.282019583305	0.0405781507984	-0.118841177257	0.118841177257	16.0869117057	33.9130882943	0.0484524114748	0.121131028687	0	-0.00228985142988	0.118841177257	2.5	0	0.2	0.0484524114748	0.118841177257	0.118841177257	
1526703360	227122428	227122	0	16	0	34	772	756	0	0	0	0	0	0	0	0	0	0	0	0	608	431	792	724	1509991935	608	423	792	730	0.223962	0.09405	0.278164	0.027784	-nan	0.0888389536451	0.281507734739	0.0404340713197	-0.120061622826	0.120061622826	15.995378288	34.004621712	0.0484048823254	0.121012205813	0	-0.000950582987345	0.120061622826	2.5	0	0.2	0.0484048823254	0.120061622826	0.120061622826	
1526703360	227130740	227130	0	16	0	34	772	758	0	0	0	0	0	0	0	0	0	0	0	0	609	437	792	724	1509991935	608	431	792	724	0.223962	0.10197	0.278164	0.02416	-nan	0.0887210074605	0.281029300634	0.0402103269234	-0.123392665575	0.123392665575	15.7455500819	34.2544499181	0.048510680537	0.121276701343	0	0.0021159642327	0.123392665575	2.5	0	0.2	0.048510680537	0.123392665575	0.123392665575	
1526703360	227141140	227140	0	15	0	35	774	758	0	0	0	0	0	0	0	0	0	0	0	0	637	444	786	722	1509991935	609	437	792	724	0.22494	0.10791	0.278164	0.02416	-nan	0.0887241263411	0.280587370797	0.0398885605327	-0.128586619948	0.128586619948	15.3560035039	34.6439964961	0.0488355658084	0.122088914521	0	0.00649770542674	0.128586619948	2.5	0	0.2	0.0488355658084	0.128586619948	0.128586619948	
1526703360	227151540	227150	0	15	0	35	774	759	0	0	0	0	0	0	0	0	0	0	0	0	609	445	784	719	1509991935	637	444	786	722	0.252324	0.11484	0.273436	0.022952	-nan	0.0888887904725	0.280171229639	0.0394736279495	-0.135129840599	0.135129840599	14.865261955	35.134738045	0.049415162523	0.123537906307	0	0.011591934292	0.135129840599	2.5	0	0.2	0.049415162523	0.135129840599	0.135129840599	
1526703360	227161924	227161	0	14	0	36	776	760	0	0	0	0	0	0	0	0	0	0	0	0	612	443	785	716	1509991935	609	445	784	719	0.22494	0.11583	0.27186	0.02114	-nan	0.0892367255982	0.27975816858	0.038971810966	-0.142657328764	0.142657328764	14.3007003427	35.6992996573	0.0502649146322	0.12566228658	0	0.0169950421839	0.142657328764	2.5	0	0.2	0.0502649146322	0.142657328764	0.142657328764	
1526703360	227172300	227171	0	14	0	36	776	761	0	0	0	0	0	0	0	0	0	0	0	0	614	440	786	713	1509991935	612	443	785	716	0.227874	0.11385	0.272648	0.019328	-nan	0.0897565849695	0.279336484465	0.0383843036786	-0.150578036402	0.150578036402	13.7066472698	36.2933527302	0.0513722812909	0.128430703227	0	0.022147333175	0.150578036402	2.5	0	0.2	0.0513722812909	0.150578036402	0.150578036402	
1526703360	227180652	227180	0	13	0	37	777	762	0	0	0	0	0	0	0	0	0	0	0	0	618	438	787	715	1509991935	614	440	786	713	0.22983	0.11088	0.273436	0.017516	-nan	0.090410230364	0.27891240121	0.0377116074334	-0.15827339012	0.15827339012	13.129495741	36.870504259	0.0526986229306	0.131746557326	0	0.0265268327933	0.15827339012	2.5	0	0.2	0.0526986229306	0.15827339012	0.15827339012	
1526703360	227191028	227190	0	13	0	37	778	762	0	0	0	0	0	0	0	0	0	0	0	0	620	432	782	719	1509991935	618	438	787	715	0.233742	0.1089	0.274224	0.018724	-nan	0.0911549306511	0.278496304549	0.0369611531976	-0.165387534091	0.165387534091	12.5959349432	37.4040650568	0.0541937774534	0.135484443634	0	0.0299030904573	0.165387534091	2.5	0	0.2	0.0541937774534	0.165387534091	0.165387534091	
